"Pit","Tit","Yit"
326584.106256319,241452.162732588,568036.268988907
40536.5729398206,-50386.7137210619,-9850.14078124127
40543.0368711403,-49073.6271488417,-8530.59027770141
79805.356496047,-8542.95618394481,71262.4003121022
54925.7294438437,-33127.538598662,21798.1908451817
119771.729143441,32587.8663208919,152359.595464333
42453.2719788208,-45450.860409636,-2997.58843081514
56676.5162347069,-30047.8507794526,26628.6654552543
56309.0577064961,-29602.1050787446,26706.9526277515
35204.2062140366,-49923.5627226908,-14719.3565086542
312346.677931588,228445.505388662,540792.18332025
104494.92076881,15140.7643763312,119635.685145141
286148.963859556,196472.185345794,482621.14920535
43874.5496450382,-50458.08414122,-6583.5344961817
39771.586177075,-53253.9473006347,-13482.3611235597
133599.351453315,41929.1287704128,175528.480223728
64494.5207895339,-28095.1380608903,36399.3827286436
73465.5489525246,-18367.285938964,55098.2630135606
37599.0268105532,-53709.0720670327,-16110.0452564795
36889.2212726324,-53039.2267509746,-16150.0054783422
28777.4408799296,-59801.1071172587,-31023.6662373291
55919.7119903534,-31130.1920687597,24789.5199215937
85740.352928211,-493.685335169859,85246.6675930411
31705.0764959287,-54434.6791409573,-22729.6026450285
66903.3245162378,-17860.7026643405,49042.6218518973
72254.0063845987,-12012.9543981212,60241.0519864775
94988.704986812,11079.9040784317,106068.609065244
25340.9371660657,-58772.377679854,-33431.4405137884
51261.0765749424,-31371.5391782527,19889.5373966897
121224.45533666,39405.6347578542,160630.090094514
115444.409559024,32742.6830419636,148187.092600988
38880.9044387457,-44565.304043244,-5684.39960449828
135260.943810514,52954.4240920235,188215.367902538
33211.1209815547,-50312.3684385648,-17101.2474570101
46103.1393704516,-36130.6747647829,9972.46460566871
67697.7720124797,-13618.1538778724,54079.6181346073
27240.1730464231,-53681.2123369272,-26441.0392905041
34212.3031586994,-45361.84158747,-11149.5384287706
341167.678480644,262734.909663542,603902.588144186
19236.3222389215,-65465.3403878264,-46229.018148905
311868.812038402,228806.400099392,540675.212137794
64225.2178801303,-24275.580344239,39949.6375358913
26399.187452706,-61440.4082771956,-35041.2208244896
95833.1165038929,9530.74916588431,105363.865669777
77010.9692729005,-9448.89165445145,67562.077618449
56999.9883891511,-29159.2294790956,27840.7589100555
103068.458238137,17675.7788419671,120744.237080105
149573.092419639,63816.9367193304,213390.029138969
121590.579874244,34365.7729739787,155956.352848223
73911.2368690145,-14063.917609262,59847.3192597525
18252.0401314601,-69315.9540715525,-51063.9139400924
59074.4323383178,-26752.7408584332,32321.6914798846
64653.4411785543,-20457.6451492456,44195.7960293086
40008.9111990143,-44545.8821019904,-4536.97090297611
51653.5802691983,-31783.57025987,19870.0100093283
6207.12794395299,-76393.8762044413,-70186.7482604883
6202.54564991816,-74496.2444536901,-68293.6988037719
35058.9346733749,-43786.9271794064,-8727.99250603143
27672.2240549318,-50073.7827973802,-22401.5587424484
312335.680235152,235844.661873016,548180.342108167
121586.222332122,39476.4981578485,161062.72048997
34293.7719740512,-48704.3119755645,-14410.5400015133
82704.162615598,943.905931270163,83648.0685468681
75089.4146188816,-6640.89455404191,68448.5200648397
22947.5154854392,-58556.8476851288,-35609.3321996896
32317.0463796932,-47735.4862240635,-15418.4398443703
56310.4184157029,-22523.6239024683,33786.7945132347
61781.3209062367,-16465.3716628289,45315.9492434077
76007.5411246665,-1796.64853418186,74210.8925904847
51508.4547691829,-26196.1644081201,25312.2903610627
116401.266042632,39381.1283229945,155782.394365626
44267.3878565721,-33653.8427740793,10613.5450824928
38006.6382308035,-39051.768863656,-1045.1306328525
73685.8188750595,-2386.13555600768,71299.6833190519
67609.2261111415,-8354.2120399302,59255.0140712112
19006.3620454554,-56705.1297975191,-37698.7677520637
69576.5801993539,-4725.93202355862,64850.6481757953
26491.7929521349,-47651.8094858626,-21160.0165337277
311869.814342996,238912.024035447,550781.838378442
28801.7323094356,-49863.3067575507,-21061.5744481151
13924.107501525,-63488.207462451,-49564.099960926
9238.75332275109,-66596.1455589357,-57357.3922361846
162305.454346846,88124.2621718188,250429.716518665
151985.976336474,75725.9443252355,227711.92066171
87606.9966051557,9576.82216669312,97183.8187718488
54566.4997523349,-23643.9602985504,30922.5394537845
45300.3858515116,-32285.0493288114,13015.3365227002
40543.009914124,-36214.5530610817,4328.45685304231
123997.767474462,48160.2912802664,172158.058754728
341172.679028511,264223.403670382,605396.082698893
58438.4815713089,-24810.0363930518,33628.445178257
62899.9368114828,-19691.2752535295,43208.6615579532
48201.0422574736,-33852.7937106919,14348.2485467817
20867.8610836814,-60307.8904145584,-39440.029330877
93155.143029629,13492.9033186993,106648.046348328
46622.5188406863,-33309.533624076,13312.9852166103
48579.0597441402,-30506.3490761767,18072.7106679635
115195.369756737,36898.857868446,152094.227625183
23246.1668939695,-55889.9433806205,-32643.776486651
86565.8331892594,8837.08160641101,95402.9147956704
33224.0951527785,-44672.0941869648,-11447.9990341863
38397.5918925301,-38366.8059168636,30.7859756665493
64275.4459900615,-11525.538842204,52749.9071478575
25218.6715139992,-50257.0033896744,-25038.3318756752
52799.3399943472,-21420.9306824089,31378.4093119382
24646.1673416553,-49013.9417293811,-24367.7743877258
18081.8492945567,-54352.8864950834,-36271.0372005267
104282.193520601,33190.4074015124,137472.600922113
341165.0336037,269316.272517115,610481.306120815
27843.4634584786,-50433.0966795122,-22589.6332210337
31722.8430596014,-45290.4203089677,-13567.5772493664
100067.076939418,24180.022007677,124247.098947095
46645.9162491316,-29769.7667204244,16876.1495287072
61767.9120302616,-13878.8256310513,47889.0863992103
38867.9078666879,-36396.7212664556,2471.18660023237
86571.9488002334,12223.3277580742,98795.2765583077
311868.536357407,237276.945672306,549145.482029714
67274.5671705328,-12969.4961457848,54305.071024748
105334.417637035,25459.416074052,130793.833711087
82931.3004893067,2491.64501833402,85422.9455076407
30604.6573572551,-49838.6800342686,-19234.0226770135
100117.454206533,20928.6488111108,121046.103017644
94993.1708524705,15363.0112077016,110356.182060172
71421.9895636936,-8535.54120309043,62886.4483606032
311868.697629436,232186.107942917,544054.805572352
43534.3335319387,-41672.9740906318,1861.35944130693
39775.5754728452,-44364.0851031472,-4588.50963030204
72507.8487973542,-10505.5083604269,62002.3404369273
93602.5368370672,10902.9577912602,104505.494628327
27177.4197784434,-55712.8520943325,-28535.4323158891
45755.4993216303,-35736.3183526181,10019.1809690122
165839.538046679,85260.4125211243,251099.950567804
152381.868778122,69818.090701822,222199.959479944
52798.0562492279,-31387.0800044101,21410.9762448178
49788.6392461927,-33571.5348604075,16217.1043857852
39646.9803561599,-42843.7935716548,-3196.81321549485
40139.1914778077,-41261.2672697619,-1122.07579195423
93607.1330044226,13238.594897305,106845.727901728
341174.119625989,260547.561904844,601721.681530833
80945.9243363479,-5869.89833058906,75076.0260057589
109679.811647575,23071.6589195687,132751.470567144
30207.0799018941,-56892.9531935164,-26685.8732916222
87394.2110901764,1738.17412173376,89132.3852119101
82460.7395822675,-3175.22096450047,79285.5186177671
35327.6957963804,-50167.1596381618,-14839.4638417814
142495.860583519,58267.955360238,200763.815943757
130500.735370138,44953.7520544513,175454.48742459
101334.226080022,14764.2755716355,116098.501651657
31680.8559841384,-55167.9886696545,-23487.1326855161
113995.500410262,28542.2762358423,142537.776646104
155019.153572314,68942.175116732,223961.328689046
51639.9351723832,-36024.6408311474,15615.2943412358
50666.1166283346,-36058.4585494116,14607.6580789231
29645.8800953082,-56151.80324306,-26505.9231477518
49818.5082897035,-34553.1125273406,15265.395762363
41669.8113925986,-41815.997074894,-146.185682295436
69657.5226223958,-12747.6380173597,56909.8846050361
63404.8091067577,-18636.717855377,44768.0912513807
98281.9827319023,16742.4155244185,115024.398256321
17786.9815704473,-64095.2973213642,-46308.3157509169
69447.4524917806,-10839.5171542112,58607.9353375694
