"Pit","Tit","Yit"
546017.537052865,-17135.404849056,528882.132203809
659888.289733562,97427.8631759514,757316.152909513
85459.3099007409,-478239.613688192,-392780.303787451
145416.003958071,-409764.92096472,-264348.917006649
1212201.24429625,664344.145468084,1876545.38976434
165276.650385332,-393496.136802253,-228219.48641692
954688.587814959,402979.092353149,1357667.68016811
728219.304233586,170046.65407799,898265.958311577
587258.335184328,26575.6758965105,613834.011080839
644316.024973688,83597.0351723272,727913.060146016
712433.752055961,150688.223990453,863121.976046414
571078.123741374,7175.70981054122,578253.833551915
539111.583161963,-24508.9005936258,514602.682568337
528117.650249074,-34679.9616917125,493437.688557361
133072.819424051,-428725.200778238,-295652.381354188
238204.0010378,-315929.019067781,-77725.0180299806
111153.237352539,-437244.259153718,-326091.021801178
581230.284433477,40609.1394348614,621839.423868339
690476.586127759,149493.742350439,839970.328478198
121332.186195592,-421849.551726734,-300517.365531142
185132.074946961,-350563.860746149,-165431.785799189
696301.946295047,166868.155170317,863170.101465364
608467.627691677,76498.0826385715,684965.710330249
497243.927164814,-35720.3276578754,461523.599506939
882023.369794369,349965.321284955,1231988.69107932
678874.065241821,141177.96411746,820052.029359281
477396.397468284,-62370.3847355676,415026.012732717
215822.76044001,-322556.619035356,-106733.858595346
498300.167660999,-34290.6292750789,464009.53838592
592118.062815329,60410.5202360527,652528.583051382
504060.9807887,-28374.8618882806,475686.118900419
505094.537919012,-26558.6000874485,478535.937831564
554707.009535613,23807.2029641531,578514.212499766
81411.5294914315,-449594.923894241,-368183.39440281
732854.884126929,209776.277383056,942631.161509985
622346.284957106,95979.8727413711,718326.157698478
510348.15046603,-17372.9339490686,492975.216516961
663705.868460552,136567.764158537,800273.632619089
624496.622568907,95326.9869729224,719823.609541829
71810.5299748763,-458679.276082236,-386868.74610736
783974.24992723,261554.307109002,1045528.55703623
622323.723987117,95735.2835926962,718059.007579813
919720.03425838,391785.344271402,1311505.37852978
119199.035094041,-415085.353211447,-295886.318117406
85947.9161201709,-440991.485163219,-355043.569043048
641358.269349912,122195.037439997,763553.306789909
174935.217307157,-346055.764895391,-171120.547588234
819046.109623252,304191.143737481,1123237.25336073
515162.967904757,-4610.70298822709,510552.26491653
691919.102765765,172486.687508603,864405.790274368
617874.890156223,95774.5872999247,713649.477456148
502026.858769761,-21435.1281204448,480591.730649316
521794.700745334,-1034.8671538718,520759.833591463
124992.993000689,-397549.818100222,-272556.825099534
191944.746155991,-323585.095774292,-131640.349618301
791547.583271571,281754.174704759,1073301.75797633
594990.511933172,80642.8710872813,675633.383020453
593309.084552796,77831.6737587508,671140.758311546
605839.68414163,89292.9709225868,695132.655064217
791456.009926151,273646.460709832,1065102.47063598
1054747.41483622,532537.77191259,1587285.18674881
475113.391247855,-55860.0277541886,419253.363493666
166287.851261046,-363437.412971136,-197149.56171009
158522.827074585,-364745.130975104,-206222.303900519
500491.380361804,-16320.4674794726,484170.912882331
1365071.17526772,848782.566152293,2213853.74142001
726330.742421714,195887.876746573,922218.619168287
557987.040868338,24517.9222228482,582504.963091187
728099.538603177,194519.373858563,922618.91246174
1289373.26940512,752806.217746507,2042179.48715163
181815.859617594,-367210.820554839,-185394.960937245
901772.936076319,359345.587418141,1261118.52349446
632729.911973413,84537.1714451109,717267.083418524
500617.028812098,-48667.8410988551,451949.187713243
619344.670785256,71256.5299036417,690601.200688898
734105.399269187,185158.457388909,919263.856658097
699975.384758742,148241.99001735,848217.374776092
579050.302164273,25162.1839128884,604212.486077161
663643.208818642,109710.600852926,773353.809671568
636792.090828687,81380.8825230269,718172.973351714
118430.135092666,-437993.216844133,-319563.081751466
1009230.5081725,460620.923628189,1469851.43180068
503327.757850532,-52725.7485769737,450602.009273558
208816.651995411,-345974.631863468,-137157.979868057
473932.539819062,-74613.0337527461,399319.506066316
147734.439437912,-399191.001455932,-251456.562018021
591906.242773796,52111.8225051663,644018.065278962
873656.361049246,333301.525159157,1206957.8862084
186974.932858307,-358707.100195959,-171732.167337652
531007.608573128,-8236.24572593823,522771.362847189
483026.227142056,-55757.6246534388,427268.602488617
819503.925160558,281991.597850332,1101495.52301089
99933.9945680864,-442037.170446725,-342103.175878639
1149797.18791773,615643.834003022,1765441.02192076
131926.961117568,-412360.510397755,-280433.549280187
649834.962319313,112893.823728975,762728.786048288
232754.526988726,-305781.225201866,-73026.69821314
128751.60702748,-404292.31194433,-275540.70491685
661351.761645275,135492.183811772,796843.945457047
111940.671634117,-415940.60817591,-303999.936541792
983359.633693203,462807.13250763,1446166.76620083
233452.151926313,-294673.327776519,-61221.1758502066
