"person","year","labinc","wt","age","hours","male","married","pp"
1357,1984,35670.02,639236,27,2404,1,1,0
7108,1984,33571.78,215269,26,3611,1,0,0
1946,1984,16995.71,668001,26,3380,1,1,0
520,1984,34620.9,194352,25,2860,1,1,0
16,1984,33571.78,764504,25,2220,0,0,1
11224,1984,11120.65,8137,25,1235,0,0,0
8520,1984,31473.55,239995,27,3106,1,1,0
468,1984,30424.43,595878,25,2080,1,1,0
7751,1984,37768.25,94584,26,2136,0,1,0
4122,1984,50357.67,157112,26,2080,1,1,0
4567,1984,27801.63,620353,26,2455,0,0,0
5750,1984,33571.78,78198,25,2272,1,1,1
3706,1984,37768.25,789107,26,2340,1,0,1
6094,1984,35670.02,277474,26,3321,1,1,0
11821,1984,54554.14,686169,27,2600,1,0,1
7975,1984,8392.945,83411,26,1724,0,1,0
9570,1984,31473.55,94454,25,1974,1,0,1
4276,1984,10491.18,167586,26,2168,1,1,0
11892,1984,54917.14,205547,25,2050,1,0,0
3131,1984,46161.2,1031878,25,2465,1,0,0
5587,1984,24654.28,641012,26,2168,1,1,1
8391,1984,40953.38,102299,26,2340,0,1,1
1886,1984,76740.9,598643,25,2080,0,0,1
3389,1984,25178.84,624691,25,2382,1,1,1
8886,1984,28995.53,96818,26,2272,1,0,0
3970,1984,25178.84,820282,26,2748,0,0,0
9819,1984,20982.36,104053,27,3150,1,0,1
9469,1984,33571.78,112381,26,2600,0,0,0
12249,1984,28326.19,155047,25,1630,0,0,0
3289,1984,29375.31,727257,26,2000,1,1,1
9461,1984,26227.96,57656,26,2080,0,1,0
6068,1984,30424.43,331379,25,2460,0,0,0
12411,1984,6294.709,88802,25,800,1,1,0
2304,1984,18884.13,594939,26,1742,1,0,0
3008,1984,14687.65,238911,26,864,1,0,0
9468,1984,35670.02,78411,27,2560,1,0,0
8403,1984,31473.55,93116,26,2100,1,1,0
9450,1984,25178.84,74240,26,2040,1,0,0
9495,1984,24339.54,107255,25,1976,0,0,0
128,1984,25178.84,636376,25,1910,0,1,1
57,1984,22031.48,558793,25,2366,0,0,0
104,1984,30424.43,586500,25,1315,0,0,0
7794,1984,26437.78,253298,26,2080,0,0,1
3769,1984,21718.85,143964,25,2300,0,1,0
5024,1984,50987.14,681901,26,2446,1,1,0
12244,1984,41964.73,95590,26,2770,1,0,1
9692,1984,8506.25,75876,26,960,0,1,0
10268,1984,35670.02,83449,25,1951,0,1,0
7874,1984,76740.9,196515,26,2080,1,0,0
627,1984,44062.96,537998,26,2545,0,1,1
9712,1984,55603.27,71455,26,2340,0,1,0
775,1984,31473.55,753463,25,1920,0,1,0
1180,1984,33571.78,807857,25,2510,1,1,0
6100,1984,37768.25,261152,26,2080,1,0,0
1593,1984,9442.063,578375,25,1188,0,1,0
12018,1984,33571.78,638365,26,2080,0,0,1
12016,1984,76740.9,724621,26,3991,1,1,0
2918,1984,32522.66,943793,25,1820,0,1,1
9716,1984,54554.14,71455,25,2080,0,0,0
12251,1984,41964.73,164639,26,2080,0,1,0
9195,1984,25774.74,131677,25,2120,0,0,0
3033,1984,76740.9,287578,26,3631,1,1,1
945,1984,27277.07,583465,25,2528,1,0,1
2285,1984,31473.55,739841,26,2080,0,1,0
7755,1984,37768.25,89073,25,1960,0,1,0
6157,1984,53512.96,203446,25,3100,1,0,1
6566,1984,24549.37,80174,27,2080,0,0,0
9749,1984,40915.61,123685,27,2080,0,1,0
12046,1984,27277.07,668503,25,1705,0,0,0
8829,1984,45112.08,83245,25,2340,0,0,0
5702,1984,76740.9,569886,25,2624,0,0,0
12527,1984,32103.02,114284,26,2124,0,0,0
2,1984,24129.72,791575,25,1820,0,0,0
9593,1984,25178.84,91424,25,2104,0,1,0
9150,1984,35670.02,95590,26,2146,0,0,0
